string_field_0,string_field_2,string_field_3,string_field_45,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_44,string_field_43,string_field_5
United Kingdom,>60,11,Student / Unemployed,,,,,,,,,C++,C,,,VB,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
India,20-24,<2,,,JavaScript,CSS,PHP,,,SQL,C#,C++,C,Perl,,Java,,Windows XP,"Fortune 1000 (1,000+)"
United States of America,20-24,<2,"$40,000 - $60,000",,JavaScript,CSS,,,Ruby,,,,C,,,"Common Lisp, Java",It pays the bills,Mac OS X,Mature Small Business (25-100)
Other Europe,35-39,11,,,JavaScript,,PHP,,,,,,,,,Objective-C,FML,Mac OS X,"Fortune 1000 (1,000+)"
Other Europe,35-39,11,,,,,,,,,,,,,,Java,I enjoy going to work,Windows XP,Start Up (1-25)
United States of America,20-24,41310,,Java,,,,Python,,,,,C,,,,,Mac OS X,"Other (not working, consultant, etc.)"
Canada,20-24,41435,Student / Unemployed,,JavaScript,CSS,PHP,Python,,,,C++,,,,X86 Assembly,It pays the bills,Linux,"Other (not working, consultant, etc.)"
United States of America,20-24,41310,Student / Unemployed,,,,,,,,C#,,,,,,FML,Windows 7,"Other (not working, consultant, etc.)"
United Kingdom,30-34,41435,"$60,000 - $80,000",,,,,Python,,,,,C,,,R,FML,Linux,"Fortune 1000 (1,000+)"
Canada,25-29,41310,"$40,000 - $60,000",Java,JavaScript,CSS,,,,SQL,,C++,C,,,RPG,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,51-60,11,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
Italy,30-34,11,,,,,,Python,,,,,C,,,Haskell,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
United States of America,20-24,<2,"<$20,000",,,,PHP,Python,,,,,C,,,,It pays the bills,Mac OS X,Start Up (1-25)
Russia,25-29,41310,,,,,,,,,,,,,,,,Windows Vista,Mature Small Business (25-100)
Germany,25-29,41435,"$40,000 - $60,000",Java,JavaScript,CSS,,,Ruby,,,,,,,,It pays the bills,Linux,Start Up (1-25)
United States of America,< 20,<2,"<$20,000",,,,,,,,C#,,,,,,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
Australia,25-29,41310,"$60,000 - $80,000",,,,,Python,,SQL,C#,C++,C,,,Lua,I enjoy going to work,Windows Vista,Mature Small Business (25-100)
United States of America,20-24,41435,,Java,,,,Python,,,,C++,C,,,,,Windows 7,Mature Small Business (25-100)
United States of America,< 20,41310,Student / Unemployed,,JavaScript,CSS,PHP,,Ruby,,C#,C++,C,,,,It pays the bills,Linux,"Other (not working, consultant, etc.)"
United States of America,25-29,11,Student / Unemployed,,,,,,,,,,,Perl,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
South America,25-29,<2,"<$20,000",Java,,,,Python,,,,,,,,,So happy it hurts,Mac OS X,Mid Sized (100-999)
United States of America,25-29,41310,"$60,000 - $80,000",,,,,Python,,,,C++,C,,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
Italy,30-34,41310,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,,,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
United States of America,30-34,41435,">$140,000",Java,,,,,,,,,C,,,,FML,Windows 7,"Fortune 1000 (1,000+)"
United Kingdom,30-34,11,"$20,000 - $40,000",Java,,,,,,SQL,,,,,,,It pays the bills,Windows XP,"Fortune 1000 (1,000+)"
United Kingdom,20-24,41435,"$20,000 - $40,000",,,CSS,PHP,,,,,,,,,HTML,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
Other Europe,30-34,41435,"$40,000 - $60,000",,,,,,,SQL,,,,,,R; VBA,It pays the bills,Windows 7,Mid Sized (100-999)
India,20-24,41310,,,,,,,,,,C++,C,Perl,,,So happy it hurts,Linux,"Fortune 1000 (1,000+)"
United States of America,< 20,41310,Student / Unemployed,Java,JavaScript,CSS,PHP,,,SQL,,,,,,Coldfusion,I'm not happy in my job,Windows XP,"Other (not working, consultant, etc.)"
Other Europe,25-29,41310,"$40,000 - $60,000",Java,JavaScript,,,,,,,C++,,,,Scala,I enjoy going to work,Linux,Start Up (1-25)
United States of America,25-29,41435,"$120,000 - $140,000",,,,,,,,C#,C++,,,,,So happy it hurts,Windows 7,"Fortune 1000 (1,000+)"
Middle East,25-29,41435,"<$20,000",Java,,,,,Ruby,SQL,C#,C++,C,,,,I'm not happy in my job,Linux,"Other (not working, consultant, etc.)"
United States of America,25-29,<2,"<$20,000",,,,,,,,,C++,C,Perl,,,I'm not happy in my job,Linux,Mature Small Business (25-100)
Middle East,25-29,41310,"$60,000 - $80,000",,,,,Python,,,,C++,C,,,,So happy it hurts,Linux,Mid Sized (100-999)
United Kingdom,20-24,11,Student / Unemployed,Java,,,,,,SQL,C#,C++,C,,,"F#, VB, Delphi",FML,Windows 7,Student
United States of America,20-24,<2,,Java,,,,,,,,C++,C,Perl,,,It pays the bills,Mac OS X,"Other (not working, consultant, etc.)"
South America,20-24,<2,Student / Unemployed,,JavaScript,CSS,PHP,,,,,,,,,HTML,So happy it hurts,Mac OS X,"Other (not working, consultant, etc.)"
Canada,< 20,<2,,Java,JavaScript,CSS,PHP,,,SQL,,C++,C,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
United Kingdom,20-24,41310,"$40,000 - $60,000",,,CSS,PHP,,,,,,,,,vb,It pays the bills,Windows XP,Mid Sized (100-999)
United Kingdom,>60,11,"$120,000 - $140,000",,,,,Python,Ruby,,,,C,Perl,,z/Assembler,I enjoy going to work,Windows Vista,"Other (not working, consultant, etc.)"
United Kingdom,20-24,41310,"<$20,000",,JavaScript,CSS,PHP,,Ruby,,,,,,,,I enjoy going to work,Linux,Mature Small Business (25-100)
Canada,25-29,41435,Student / Unemployed,Java,JavaScript,CSS,PHP,Python,,SQL,,C++,C,,,,I'm not happy in my job,Windows 7,"Other (not working, consultant, etc.)"
Middle East,< 20,11,,,,,,,,,,C++,,,,,So happy it hurts,,Student
Canada,30-34,<2,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
United Kingdom,20-24,41435,"<$20,000",,JavaScript,CSS,PHP,Python,,SQL,,,,,,,So happy it hurts,Mac OS X,"Fortune 1000 (1,000+)"
Germany,25-29,41435,,Java,,CSS,PHP,,Ruby,SQL,,C++,C,,,,It pays the bills,Linux,"Fortune 1000 (1,000+)"
Germany,20-24,41310,"<$20,000",,,CSS,PHP,,,SQL,,,,,,,It pays the bills,Windows XP,"Fortune 1000 (1,000+)"
United States of America,30-34,<2,"$20,000 - $40,000",,,,,,,,,,,,None,,It pays the bills,Windows XP,Mid Sized (100-999)
United Kingdom,30-34,41435,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,,,,,,"xhtml, html",I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
Canada,30-34,11,"$60,000 - $80,000",,,,,,,SQL,C#,C++,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Other Europe,30-34,41435,"<$20,000",Java,JavaScript,CSS,,,Ruby,,,,,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
India,25-29,41435,"$20,000 - $40,000",,JavaScript,CSS,,Python,,SQL,C#,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
Canada,25-29,41310,"$40,000 - $60,000",,,CSS,,,,SQL,,,,,,"Java, XSLT, Visual Basic .NET",I enjoy going to work,Windows Vista,"Fortune 1000 (1,000+)"
Other Europe,30-34,41310,Student / Unemployed,,JavaScript,CSS,PHP,,,,,,C,Perl,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
Other Europe,20-24,41310,,,,,,,,,,,,,,,,,Student
United States of America,< 20,41310,Student / Unemployed,,,,,Python,Ruby,,C#,C++,C,,,,It pays the bills,Windows 7,Student
United States of America,20-24,41310,Student / Unemployed,,,,PHP,,Ruby,,,,,,,,I enjoy going to work,Mac OS X,Student
India,20-24,41310,Student / Unemployed,,,,,,,SQL,C#,C++,C,,,VB.NET,I enjoy going to work,Windows 7,Student
United States of America,< 20,<2,Student / Unemployed,,,,,Python,,,,,,,,Haskell,I enjoy going to work,Windows XP,Student
United States of America,20-24,41435,"$20,000 - $40,000",,JavaScript,,,,,SQL,,C++,,,,,I enjoy going to work,Windows XP,Student
United States of America,< 20,41310,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,,C++,C,,,,I enjoy going to work,Linux,Student
Australia,35-39,11,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,,,SQL,,,,Perl,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
United States of America,< 20,41435,Student / Unemployed,,JavaScript,CSS,PHP,,Ruby,SQL,,,C,,,,So happy it hurts,Mac OS X,Student
South America,< 20,41435,Student / Unemployed,,JavaScript,CSS,PHP,,Ruby,SQL,,C++,C,,,,I enjoy going to work,Linux,Student
United States of America,25-29,41435,"$100,000 - $120,000",Java,,,PHP,Python,,SQL,,C++,C,Perl,,,It pays the bills,Mac OS X,Mid Sized (100-999)
Canada,25-29,41435,Student / Unemployed,Java,,CSS,,Python,,,C#,C++,C,,,Lisp,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
United States of America,20-24,41310,Student / Unemployed,,,,,,,,,C++,C,Perl,,,I enjoy going to work,Linux,Student
United States of America,20-24,11,Student / Unemployed,,,,,Python,,,,C++,C,,,,I enjoy going to work,Linux,Student
United Kingdom,20-24,41435,"<$20,000",,,,,Python,Ruby,SQL,,,C,,,"IDL, MatLab, NumPy",I enjoy going to work,Mac OS X,Student
United States of America,20-24,41435,Student / Unemployed,,,,,,,,,,C,,,,It pays the bills,Windows 7,Student
United States of America,< 20,41310,Student / Unemployed,,JavaScript,CSS,,Python,,,,,C,,,Objective-C,I enjoy going to work,Mac OS X,Student
United Kingdom,< 20,41310,Student / Unemployed,,,CSS,,Python,,,,,,,,,So happy it hurts,Windows XP,Student
Central America,< 20,41310,Student / Unemployed,,JavaScript,CSS,PHP,,,,,,,,,,I enjoy going to work,Mac OS X,Student
Middle East,30-34,41435,"$40,000 - $60,000",Java,,,,Python,,SQL,,C++,,,,Prolog,I enjoy going to work,Linux,Student
Middle East,< 20,<2,Student / Unemployed,,,,,,,,,,,,None,,It pays the bills,Mac OS X,Student
United States of America,20-24,11,Student / Unemployed,,,,,,,,C#,C++,,,,"VB.NET, VB 6",FML,Mac OS X,Student
United States of America,< 20,41435,Student / Unemployed,Java,JavaScript,,,Python,,,C#,,,,,"VB.Net, F#",So happy it hurts,Windows 7,Student
Middle East,20-24,<2,Student / Unemployed,,,,,,,,,,C,,,python,I enjoy going to work,Linux,Student
Mexico,20-24,41435,Student / Unemployed,,,CSS,PHP,,,,C#,C++,C,,,eiffel,So happy it hurts,Linux,Student
Africa,< 20,41310,Student / Unemployed,,JavaScript,CSS,PHP,Python,,SQL,,,,,,,So happy it hurts,Mac OS X,Start Up (1-25)
United States of America,< 20,41310,Student / Unemployed,Java,JavaScript,,PHP,Python,,SQL,,C++,C,,,,I enjoy going to work,Windows XP,Student
United States of America,20-24,41310,Student / Unemployed,Java,,,PHP,Python,,SQL,C#,,,,,Scala,I enjoy going to work,Linux,Student
United States of America,20-24,41310,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,SQL,,,C,,,,I enjoy going to work,Mac OS X,Student
United States of America,25-29,11,"$20,000 - $40,000",Java,JavaScript,CSS,,Python,,SQL,,C++,C,Perl,,OCaml,I enjoy going to work,Linux,Student
United Kingdom,20-24,41310,Student / Unemployed,Java,,,PHP,Python,,,C#,C++,C,,,,I enjoy going to work,Mac OS X,Student
United States of America,20-24,41310,Student / Unemployed,Java,JavaScript,CSS,PHP,,Ruby,SQL,,C++,C,,,,It pays the bills,Windows 7,Student
United Kingdom,< 20,41310,Student / Unemployed,,JavaScript,CSS,,Python,Ruby,,C#,,C,,,,So happy it hurts,Linux,"Other (not working, consultant, etc.)"
Germany,< 20,41310,Student / Unemployed,,,,,,,,,,,,,Objective-C,FML,Mac OS X,Student
India,20-24,41310,Student / Unemployed,,,,,,,,,C++,C,,,,I enjoy going to work,Windows 7,Student
Other Europe,< 20,41310,Student / Unemployed,,,,,,,,C#,,,,,,I enjoy going to work,Windows 7,Student
Netherlands,< 20,41435,Student / Unemployed,,JavaScript,CSS,PHP,,,SQL,,,C,,,"Objective-C, Cocoa",So happy it hurts,Mac OS X,Student
United States of America,20-24,41435,Student / Unemployed,Java,,,PHP,Python,Ruby,SQL,C#,C++,C,,,,I enjoy going to work,Windows 7,Student
Italy,20-24,<2,Student / Unemployed,,,,,Python,,,,,,,,,I'm not happy in my job,Linux,Student
United States of America,20-24,41310,Student / Unemployed,,JavaScript,CSS,PHP,Python,,SQL,,C++,C,,,,So happy it hurts,Linux,Student
United States of America,35-39,11,Student / Unemployed,,JavaScript,CSS,PHP,,,SQL,,,,,,Objective-C,So happy it hurts,Mac OS X,Student
United States of America,20-24,41435,Student / Unemployed,Java,,,PHP,Python,Ruby,,C#,C++,C,,,,So happy it hurts,Windows 7,Student
United States of America,20-24,41310,"<$20,000",Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,I enjoy going to work,Windows XP,Start Up (1-25)
Other Asia,< 20,<2,Student / Unemployed,,,,,,,,,,C,,,,It pays the bills,Linux,"Other (not working, consultant, etc.)"
United States of America,20-24,41310,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Italy,20-24,41435,Student / Unemployed,,,CSS,PHP,Python,,SQL,,,,,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
United States of America,< 20,<2,Student / Unemployed,,,,,,,,,,,,,Objective-C (how is this not a choice),So happy it hurts,Mac OS X,Start Up (1-25)
Other Europe,20-24,41435,Student / Unemployed,Java,,CSS,,Python,,,,C++,,,,Haskell,It pays the bills,Linux,Student
Other Europe,< 20,<2,Student / Unemployed,,,,PHP,,,,,,,,,,FML,Mac OS X,Student
Other Europe,20-24,41310,Student / Unemployed,Java,,,,,,,C#,C++,C,,,,I'm not happy in my job,Windows 7,Start Up (1-25)
Other Asia,25-29,41310,Student / Unemployed,,JavaScript,,,,,,,C++,C,,,Objective-C,I enjoy going to work,Mac OS X,Student
United States of America,30-34,41435,"<$20,000",,,,,,,,,C++,,,,Mathematica,I'm not happy in my job,Mac OS X,Student
United States of America,20-24,41310,,,,,,,,,,,,,,,,,Start Up (1-25)
Italy,20-24,41435,Student / Unemployed,,,,,,,,C#,C++,C,,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
United States of America,20-24,41310,Student / Unemployed,Java,JavaScript,CSS,PHP,Python,,,,C++,C,,,,I enjoy going to work,Mac OS X,Student
Australasia,< 20,41435,Student / Unemployed,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,,,,,So happy it hurts,Windows 7,Student
United States of America,20-24,41310,Student / Unemployed,Java,JavaScript,,,,Ruby,,,,,,,,It pays the bills,Mac OS X,Student
South America,25-29,41310,"<$20,000",Java,JavaScript,CSS,PHP,Python,,SQL,,C++,C,,,scheme,So happy it hurts,Mac OS X,Student
Australia,25-29,41310,Student / Unemployed,Java,,,,,,,,C++,C,,,"lua, objective-c",I enjoy going to work,Mac OS X,Student
South America,20-24,41310,Student / Unemployed,,,,,,,SQL,C#,,,,,,It pays the bills,Windows 7,"Other (not working, consultant, etc.)"
United States of America,20-24,11,Student / Unemployed,,,,,,,,C#,C++,C,,,"VB.NET, VB 6, VBScript, VBA",FML,Mac OS X,Student
United Kingdom,30-34,11,Student / Unemployed,Java,,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Student
Other Europe,20-24,<2,Student / Unemployed,,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,I enjoy going to work,Windows 7,Start Up (1-25)
Other Europe,25-29,11,"$20,000 - $40,000",Java,,,,,,,,C++,C,,,,I enjoy going to work,Windows 7,Student
Canada,30-34,41310,Student / Unemployed,Java,,,,,,SQL,,,,Perl,,,I enjoy going to work,Windows 7,Student
United States of America,< 20,<2,Student / Unemployed,,,,,,,,,,,,,actionscript 3,I enjoy going to work,Windows 7,Student
United States of America,40-50,11,Student / Unemployed,,,,,,,SQL,,C++,,,,"COBOL, shell, awk",FML,Linux,Student
Other Europe,20-24,41310,Student / Unemployed,,,,,,,,C#,C++,C,,,,I enjoy going to work,Windows 7,Student
United Kingdom,25-29,41310,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,,C++,C,,,,I enjoy going to work,Windows 7,Student
Other Europe,25-29,41310,"<$20,000",,,,,,,,,,,,None,,It pays the bills,Windows 7,Mid Sized (100-999)
Italy,20-24,<2,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,Python,,SQL,,,,,,,So happy it hurts,Linux,"Other (not working, consultant, etc.)"
Germany,25-29,11,Student / Unemployed,Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,,,,It pays the bills,Windows 7,Student
India,< 20,41310,Student / Unemployed,,JavaScript,CSS,,Python,,,,C++,C,,,,So happy it hurts,Linux,Student
United States of America,25-29,41435,"$20,000 - $40,000",Java,JavaScript,CSS,,,Ruby,SQL,,C++,C,,,,FML,Mac OS X,Student
Middle East,20-24,41435,,,,,,,,,,C++,C,,,,,Windows 7,Student
United States of America,20-24,11,Student / Unemployed,Java,JavaScript,CSS,PHP,,,SQL,,,,,,KRL,I enjoy going to work,Linux,Student
United States of America,25-29,11,"$20,000 - $40,000",,,CSS,PHP,Python,,SQL,,C++,C,,,MATLAb,I enjoy going to work,Windows XP,Student
Canada,< 20,41310,Student / Unemployed,,,CSS,,Python,Ruby,,,C++,C,Perl,,Haskell,I enjoy going to work,Windows 7,Student
Germany,20-24,11,"<$20,000",,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,C,,,ActionScript,I enjoy going to work,Windows 7,Student
Canada,20-24,41310,Student / Unemployed,Java,,CSS,PHP,,Ruby,SQL,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Australia,20-24,41310,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,,C++,C,,,,I enjoy going to work,Mac OS X,Student
Other Europe,20-24,<2,Student / Unemployed,Java,,,,,,SQL,C#,C++,C,Perl,,,FML,Linux,Student
United States of America,< 20,<2,Student / Unemployed,Java,,CSS,,,,,C#,,,,,,I enjoy going to work,Windows Vista,Student
United States of America,< 20,41310,Student / Unemployed,Java,JavaScript,CSS,,Python,,SQL,,C++,C,,,,I enjoy going to work,Windows 7,Student
North America (Other),30-34,41435,,,,,,,,,,,,,,,,,Student
South America,20-24,<2,Student / Unemployed,,,,,,,,,,C,,,,So happy it hurts,Linux,Student
Other Asia,20-24,<2,Student / Unemployed,,JavaScript,CSS,PHP,,,SQL,,,,,,,I'm not happy in my job,Linux,Start Up (1-25)
United Kingdom,20-24,41310,,,JavaScript,,PHP,,,,,C++,,,,,,Linux,Student
United Kingdom,< 20,41310,Student / Unemployed,,,,,,,,,,,,,objective-c,I enjoy going to work,Mac OS X,Student
Other Europe,< 20,<2,Student / Unemployed,,,,,,Ruby,,,C++,,,,,FML,Windows XP,Student
Other Europe,20-24,41435,Student / Unemployed,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,Object Pascal,So happy it hurts,Windows 7,Student
United Kingdom,20-24,41310,,,,,,,,,,C++,,,,,I enjoy going to work,Windows 7,Student
Italy,20-24,<2,,,,,,,,,,,,,,,,,Student
United States of America,20-24,41435,Student / Unemployed,Java,,CSS,PHP,,,,C#,,,,,,I enjoy going to work,Windows 7,Student
Russia,20-24,41310,Student / Unemployed,,JavaScript,CSS,,,,,,,,,,,I'm not happy in my job,Windows XP,Student
Middle East,25-29,41310,,Java,,,,,,,C#,C++,C,Perl,,,I enjoy going to work,Windows 7,Student
Other Europe,20-24,41310,Student / Unemployed,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,Perl,,,I enjoy going to work,Linux,Student
Australia,20-24,41435,"$40,000 - $60,000",Java,,CSS,PHP,,,,,,,,,,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
South America,20-24,<2,Student / Unemployed,,JavaScript,CSS,PHP,,,,C#,,,,,"VB.NET, Avisynth, Shell",FML,Windows XP,Student
Netherlands,< 20,41310,"<$20,000",Java,JavaScript,CSS,PHP,,,SQL,C#,,,Perl,,,FML,Windows 7,Student
Germany,20-24,41310,Student / Unemployed,Java,,,,Python,Ruby,,,,,,,"Haskell, Prolog",So happy it hurts,Linux,Student
United Kingdom,20-24,41435,Student / Unemployed,,JavaScript,CSS,,,,SQL,C#,C++,C,,,,It pays the bills,Linux,Student
United States of America,< 20,41435,Student / Unemployed,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows Vista,Student
Middle East,20-24,41310,,,,,,,,,,,,,,,,,Student
Other Europe,20-24,41310,"<$20,000",Java,,,,Python,,,,C++,C,,,,I enjoy going to work,Windows 7,Student
Other Europe,20-24,41435,Student / Unemployed,,,CSS,PHP,Python,,,,C++,C,,,java,I enjoy going to work,Linux,Student
United States of America,25-29,41435,,Java,JavaScript,CSS,,,,,,,C,Perl,,Haskell,I enjoy going to work,Mac OS X,Student
Germany,25-29,11,"<$20,000",,JavaScript,CSS,,Python,Ruby,,C#,,,,,,I enjoy going to work,Windows 7,Student
United States of America,20-24,41310,Student / Unemployed,Java,,,,Python,,,,,,,,,I'm not happy in my job,Linux,Student
Other Europe,< 20,<2,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,C#,C++,C,,,,I enjoy going to work,Windows 7,Student
United States of America,< 20,<2,Student / Unemployed,,,CSS,PHP,,,,C#,,,,,,I enjoy going to work,Windows 7,Student
United States of America,20-24,41435,Student / Unemployed,Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,,,,I enjoy going to work,Linux,Student
United States of America,25-29,41435,Student / Unemployed,Java,JavaScript,,,Python,Ruby,,,,,,,,I enjoy going to work,Mac OS X,Student
United States of America,< 20,<2,Student / Unemployed,,,,,,,,,,,,None,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
Germany,25-29,41435,Student / Unemployed,Java,,CSS,,Python,,,C#,C++,,,,,So happy it hurts,Mac OS X,Student
United Kingdom,25-29,11,Student / Unemployed,Java,,,,,Ruby,,,C++,,,,lisp,So happy it hurts,Linux,Student
United Kingdom,20-24,41310,Student / Unemployed,,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Windows 7,Student
United States of America,20-24,41310,,,,CSS,PHP,Python,,SQL,C#,,,,,,So happy it hurts,Linux,Student
Canada,20-24,41435,"$20,000 - $40,000",,JavaScript,CSS,,Python,Ruby,,,C++,C,Perl,,Clojure,I enjoy going to work,Mac OS X,Student
Other Europe,25-29,<2,Student / Unemployed,Java,,,,,,,C#,,,,,,I'm not happy in my job,Windows 7,Student
Netherlands,< 20,41435,Student / Unemployed,Java,,CSS,PHP,Python,,SQL,C#,C++,C,,,"Assembly, Lisp, Scheme, LOLCODE",I enjoy going to work,Windows 7,Student
United States of America,< 20,<2,Student / Unemployed,,,,,Python,,,,,,,,,It pays the bills,Mac OS X,Student
Other Europe,20-24,11,Student / Unemployed,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,C,Perl,,,It pays the bills,Windows 7,Student
Germany,25-29,41310,Student / Unemployed,,JavaScript,CSS,PHP,Python,,,,,,,,,I enjoy going to work,Mac OS X,Student
Germany,25-29,41435,,Java,,,PHP,,,,,C++,C,,,"Haskell, LISP",So happy it hurts,Linux,Student
Middle East,25-29,41310,Student / Unemployed,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,MATLAB,I'm not happy in my job,Windows XP,Student
Other Europe,20-24,41435,Student / Unemployed,,JavaScript,CSS,PHP,,,,C#,C++,,,,,I enjoy going to work,Windows 7,Student
United States of America,< 20,41310,Student / Unemployed,,,,,,,,,C++,,,,LSL,So happy it hurts,Windows Vista,Student
United States of America,20-24,41310,Student / Unemployed,,JavaScript,CSS,PHP,,,,,,,,,,FML,Windows XP,Student
United Kingdom,< 20,41310,,,JavaScript,CSS,,,Ruby,,,,,,,,It pays the bills,Mac OS X,Student
Italy,25-29,<2,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,,,,,,,FML,Linux,Student
United Kingdom,< 20,41310,Student / Unemployed,,JavaScript,CSS,PHP,Python,Ruby,SQL,,C++,,,,,It pays the bills,Linux,Student
United Kingdom,< 20,41310,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,,C++,,,,XSLT,I enjoy going to work,Windows XP,"Other (not working, consultant, etc.)"
India,20-24,41310,Student / Unemployed,,,,,,,,,C++,C,,,,I enjoy going to work,Windows Vista,Student
