string_field_2,string_field_3,string_field_0,string_field_100,string_field_56,string_field_57,string_field_58,string_field_59,string_field_60,string_field_61,string_field_62,string_field_63,string_field_64,string_field_65,string_field_66,string_field_67,string_field_68,string_field_69,string_field_99,string_field_81,string_field_5
51-60,11,United States of America,"$60,000 - $80,000",,,,Java,,,,,,,,,SQL,"RPG-IV, DB2 for i, CL (IBM i), Classic REXX",I enjoy going to work,Windows 7,101-999
20-24,2/5/2013,Other Europe,Rather not say,,,C#,,JavaScript,,,,,,,,SQL,,Love my job,Windows 7,101-999
51-60,11,Netherlands,"$80,000 - $100,000",,,,Java,JavaScript,,,,,PHP,Python,Ruby,,"ksh, puppet",I enjoy going to work,Mac OS X,101-999
25-29,6/10/2013,United States of America,"$80,000 - $100,000",,,,,JavaScript,,,Node.js,,PHP,,,SQL,,I enjoy going to work,Mac OS X,26-100
51-60,11,Russia,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,,,Ruby,,Scala,Love my job,Mac OS X,101-999
20-24,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,France,,,,,,,,,,,,,,,,,,
40-50,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Africa,,,,,,,,,,,,,,,,,,
35-39,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
25-29,<2,Russia,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,United Kingdom,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Germany,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,South America,,,,,,,,,,,,,,,,,,
30-34,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
< 20,2/5/2013,Canada,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,Germany,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,Russia,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,
,,Italy,,,,,,,,,,,,,,,,,,
20-24,<2,Other Europe,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
20-24,6/10/2013,Germany,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,United Kingdom,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,India,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,Other Europe,,,,,,,,,,,,,,,,,,
< 20,2/5/2013,France,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
30-34,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,United States of America,,C,,,Java,JavaScript,,,,,,,,,,I enjoy going to work,Linux,3001
20-24,<2,United States of America,"$20,000 - $40,000",,,,,,,,,,,Python,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
20-24,2/5/2013,India,,,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,,Windows 7,1/25/2013
35-39,11,France,,,C++,C#,,,jQuery,,,,,,,SQL,,,Windows 8,1/25/2013
20-24,2/5/2013,France,Student / Unemployed,,,,Java,,jQuery,,Node.js,,PHP,,,SQL,,It's a paycheck,Windows 7,1/25/2013
40-50,11,Other Europe,"<$20,000",,,,,,jQuery,,,,PHP,,,,,Love my job,Mac OS X,"Other (not working, consultant, etc.)"
25-29,11,Other Europe,Rather not say,,,,Java,JavaScript,jQuery,,,,,,,,,I enjoy going to work,Windows 8,1/25/2013
30-34,11,United Kingdom,,,,,,,,,,,,,,,,,,1/25/2013
< 20,<2,Other Europe,Student / Unemployed,,,,,JavaScript,jQuery,,,,PHP,,,SQL,HTML,Love my job,Mac OS X,"Other (not working, consultant, etc.)"
25-29,2/5/2013,India,,,,C#,,JavaScript,jQuery,,,,,,,SQL,css,Love my job,Windows 7,1/25/2013
35-39,11,United States of America,,C,,,Java,,,,,,,,,,,,Windows XP,3001
25-29,6/10/2013,Italy,">$140,000",,,,,JavaScript,jQuery,,,,,Python,Ruby,,,Love my job,Linux,"1,000-3,000"
25-29,2/5/2013,Other Europe,,,,,Java,,,,,,,,,,,,Windows XP,101-999
< 20,<2,Other Europe,,,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,LINQ,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
25-29,6/10/2013,Russia,Rather not say,C,C++,,Java,JavaScript,,,,,PHP,Python,,SQL,,Love my job,Linux,1/25/2013
30-34,6/10/2013,India,"<$20,000",,,,,,jQuery,,,,PHP,,,SQL,,Love my job,Windows XP,26-100
35-39,6/10/2013,Germany,Rather not say,,,,Java,JavaScript,,,,,PHP,Python,,SQL,,Love my job,Linux,1/25/2013
25-29,2/5/2013,India,"$20,000 - $40,000",,,C#,Java,,jQuery,,,,PHP,,,,,I enjoy going to work,Windows 7,1/25/2013
35-39,11,United Kingdom,"$120,000 - $140,000",,,,,,,,,,,,,SQL,MATLAB,I enjoy going to work,Windows 7,1/25/2013
25-29,6/10/2013,United States of America,Rather not say,,C++,C#,,,,,,,,,,,vhdl,I enjoy going to work,Windows 7,"1,000-3,000"
20-24,11,France,Student / Unemployed,,,,,,,,,,,Python,,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
25-29,<2,United Kingdom,"$20,000 - $40,000",,,C#,,JavaScript,jQuery,,,,,,,,,It's a paycheck,Windows 7,1/25/2013
40-50,11,United States of America,"$100,000 - $120,000",,,,Java,,,,,,,Python,,,,I'm not happy in my job,Linux,26-100
40-50,11,Canada,"$80,000 - $100,000",,,C#,,,,,,,,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
40-50,11,Other Asia,Rather not say,C,,,,JavaScript,jQuery,,,,PHP,,,SQL,Lazarus Pascal,Love my job,Linux,1/25/2013
35-39,11,Germany,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
40-50,11,United Kingdom,"$60,000 - $80,000",,,,Java,JavaScript,jQuery,,,,,Python,,,,I enjoy going to work,Mac OS X,1/25/2013
30-34,11,United States of America,"$80,000 - $100,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,It's a paycheck,Windows 7,3001
20-24,11,United States of America,"$40,000 - $60,000",,,,,,jQuery,JQuery,,,PHP,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
35-39,11,Canada,"$120,000 - $140,000",,,C#,,,,,,,,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
35-39,11,Germany,,,,C#,Java,JavaScript,jQuery,,,Objective-C,PHP,Python,,SQL,,It's a paycheck,Windows 7,3001
35-39,6/10/2013,Germany,"$40,000 - $60,000",,,,,,,,,Objective-C,,Python,,,Perl,Love my job,Mac OS X,26-100
35-39,6/10/2013,United States of America,Student / Unemployed,,C++,,Java,,,,,,,Python,,,,I wish I had a job!,Windows XP,1/25/2013
25-29,6/10/2013,United Kingdom,"$120,000 - $140,000",C,,,Java,,,,,,,,,,,Love my job,Windows 7,101-999
35-39,11,United Kingdom,Rather not say,,,C#,,JavaScript,jQuery,JQuery,,,,,,SQL,,It's a paycheck,Windows 7,3001
25-29,11,Germany,"$60,000 - $80,000",C,C++,,,,,,,Objective-C,,Python,,,Perl,Love my job,Mac OS X,3001
< 20,<2,United States of America,Student / Unemployed,,,,Java,JavaScript,,,,,PHP,,,SQL,,I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
25-29,6/10/2013,United States of America,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,26-100
25-29,2/5/2013,South America,"$20,000 - $40,000",,,,,JavaScript,jQuery,,Node.js,,PHP,,,SQL,,It's a paycheck,Linux,26-100
30-34,6/10/2013,United States of America,Rather not say,,,C#,,,,,,,,,,SQL,,It's a paycheck,Windows XP,"1,000-3,000"
< 20,2/5/2013,United States of America,Rather not say,,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows 8,1/25/2013
25-29,6/10/2013,United States of America,,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows 7,1/25/2013
25-29,6/10/2013,United States of America,"$60,000 - $80,000",,,C#,,,jQuery,,,,,,,SQL,,Love my job,Windows 7,26-100
20-24,2/5/2013,United States of America,Student / Unemployed,C,,,,JavaScript,jQuery,,Node.js,,,Python,,,,I wish I had a job!,Mac OS X,"Other (not working, consultant, etc.)"
30-34,11,Netherlands,"$60,000 - $80,000",,,,,JavaScript,,,Node.js,,PHP,,,,,I enjoy going to work,Mac OS X,26-100
< 20,<2,Australia,Rather not say,,,,,JavaScript,,,,,PHP,,,SQL,,Love my job,Mac OS X,1/25/2013
25-29,<2,France,"$20,000 - $40,000",,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,It's a paycheck,Linux,1/25/2013
30-34,11,United States of America,Rather not say,,,C#,,JavaScript,,,,,,,,SQL,,Love my job,Mac OS X,1/25/2013
20-24,2/5/2013,United States of America,"$60,000 - $80,000",,,,Java,JavaScript,jQuery,,Node.js,,,,,SQL,Groovy,I enjoy going to work,Mac OS X,1/25/2013
20-24,2/5/2013,Canada,,,,C#,Java,,,,,,,,,SQL,,I enjoy going to work,Windows 7,101-999
25-29,2/5/2013,United Kingdom,"$40,000 - $60,000",,,,Java,,,,,,,,,,,I enjoy going to work,Linux,1/25/2013
20-24,2/5/2013,United Kingdom,"$40,000 - $60,000",C,,,Java,,,,,,,Python,,,Perl,It's a paycheck,Linux,"1,000-3,000"
40-50,11,United States of America,"$60,000 - $80,000",,,C#,,,,,,,,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
40-50,11,United States of America,,C,C++,,,,,,,,,,,,,I enjoy going to work,Windows 7,1/25/2013
20-24,2/5/2013,United States of America,"<$20,000",,,,,JavaScript,,,,,,Python,,,ActionScript 3,Love my job,Windows 7,1/25/2013
25-29,<2,India,"<$20,000",,,C#,Java,,,,,,,,,,,I wish I had a job!,Windows 7,101-999
20-24,<2,India,Rather not say,,,,Java,,,,,,,,,,,It's a paycheck,Windows 7,101-999
25-29,11,United States of America,"$60,000 - $80,000",,,,Java,,,,,,,,,,,It's a paycheck,Windows 7,1/25/2013
25-29,6/10/2013,India,,,,C#,,,jQuery,,,,,,,SQL,,I'm not happy in my job,Windows 7,26-100
25-29,6/10/2013,South America,"$20,000 - $40,000",C,C++,,Java,,,,,,,,,SQL,,I enjoy going to work,Mac OS X,101-999
20-24,6/10/2013,Africa,"<$20,000",C,C++,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows 7,1/25/2013
20-24,2/5/2013,Other Europe,"<$20,000",,,,Java,,,,,,,,,SQL,,Love my job,Windows 7,"1,000-3,000"
30-34,11,Other Europe,"$20,000 - $40,000",C,C++,,Java,,,,,,PHP,,,SQL,,Love my job,Linux,1/25/2013
30-34,11,Africa,"$20,000 - $40,000",,C++,C#,Java,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 7,"1,000-3,000"
25-29,2/5/2013,United States of America,"$80,000 - $100,000",,,,Java,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,101-999
35-39,11,United States of America,"$120,000 - $140,000",C,C++,C#,Java,JavaScript,jQuery,,,,,,,,Perl,I enjoy going to work,Windows 7,101-999
30-34,11,United States of America,"$80,000 - $100,000",C,C++,,Java,,,,,,,Python,,SQL,,I enjoy going to work,Linux,3001
30-34,11,United States of America,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,26-100
35-39,6/10/2013,Netherlands,Rather not say,,,,Java,,,,,,,,,SQL,,It's a paycheck,Windows 7,1/25/2013
20-24,2/5/2013,Other Asia,"<$20,000",C,,,,,,,,,,Python,,,"shell, haskell, lisp",I wish I had a job!,Linux,1/25/2013
20-24,2/5/2013,Canada,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,,,,,,Love my job,Mac OS X,1/25/2013
25-29,11,Canada,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,,Python,,SQL,,It's a paycheck,Mac OS X,1/25/2013
25-29,6/10/2013,United States of America,"$80,000 - $100,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows 8,26-100
20-24,2/5/2013,India,Rather not say,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Linux,1/25/2013
40-50,11,United Kingdom,"$60,000 - $80,000",,,,Java,JavaScript,jQuery,JQuery,,,,,,,Clojure,Love my job,Mac OS X,1/25/2013
25-29,11,Netherlands,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 8,"Other (not working, consultant, etc.)"
35-39,6/10/2013,Netherlands,"$40,000 - $60,000",,,,,,,,,,,Python,,,mathematics,I enjoy going to work,Windows XP,101-999
40-50,11,United Kingdom,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,,,SQL,VB.Net,I enjoy going to work,Windows XP,1/25/2013
30-34,11,United States of America,"$80,000 - $100,000",,C++,,,JavaScript,,,Node.js,,,Python,,SQL,,Love my job,Linux,1/25/2013
25-29,6/10/2013,United States of America,"$60,000 - $80,000",,,,Java,JavaScript,jQuery,,,,,,Ruby,SQL,,Love my job,Mac OS X,101-999
30-34,11,Other Europe,"$40,000 - $60,000",,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Mac OS X,26-100
40-50,11,Canada,Rather not say,,,,,JavaScript,,,,,,Python,,SQL,Haskell,Love my job,Windows 7,1/25/2013
35-39,11,Other Europe,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,,erlang,I enjoy going to work,Windows 7,26-100
< 20,2/5/2013,Germany,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,South America,,,,,,,,,,,,,,,,,,
20-24,<2,United Kingdom,,,,,,,,,,,,,,,,,,
30-34,2/5/2013,India,,,,,,,,,,,,,,,,,,
30-34,11,Canada,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,South America,,,,,,,,,,,,,,,,,,
40-50,11,Canada,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,United States of America,,,,,,,,,,,,,,,,,,
35-39,11,Other Europe,,,,,,,,,,,,,,,,,,
35-39,6/10/2013,United Kingdom,,,,,,,,,,,,,,,,,,
20-24,<2,Canada,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,United States of America,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Germany,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Other Asia,,,,,,,,,,,,,,,,,,
< 20,2/5/2013,Australia,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,United Kingdom,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
< 20,<2,Other Europe,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,
< 20,<2,United States of America,,,C++,,Java,,,,,Objective-C,,,,SQL,,Love my job,Mac OS X,1/25/2013
25-29,2/5/2013,Germany,,,,,Java,JavaScript,jQuery,,,,,,,,,,Windows XP,26-100
20-24,2/5/2013,South America,,,,C#,Java,JavaScript,jQuery,,,,,,,SQL,F#,,Windows 7,26-100
25-29,2/5/2013,Middle East,,,,,,JavaScript,,,,,PHP,,Ruby,,,,Linux,101-999
< 20,6/10/2013,Other Europe,,,,,,JavaScript,jQuery,,,,,Python,,,,,Linux,1/25/2013
20-24,<2,India,,,,,,,,,,,,,,,,,,1/25/2013
< 20,6/10/2013,United States of America,Student / Unemployed,,,,,JavaScript,,,,,PHP,,,,Unix,I enjoy going to work,Mac OS X,1/25/2013
20-24,2/5/2013,Other Asia,Student / Unemployed,,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows XP,"Other (not working, consultant, etc.)"
40-50,11,Other Europe,Rather not say,,C++,,,,,,,,,Python,,,,Love my job,Windows 7,1/25/2013
40-50,11,United Kingdom,">$140,000",,,,,,,,,,,Python,,,Delphi,Love my job,Windows 7,1/25/2013
20-24,<2,United States of America,,,C++,,Java,,,,,,,,,,,I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
25-29,2/5/2013,Other Asia,Rather not say,,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,26-100
20-24,2/5/2013,Canada,"$40,000 - $60,000",,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 7,"1,000-3,000"
25-29,2/5/2013,United States of America,"<$20,000",,,,,JavaScript,jQuery,,Node.js,,,,,,,I enjoy going to work,Linux,1/25/2013
20-24,2/5/2013,United States of America,"$100,000 - $120,000",C,,,,JavaScript,jQuery,,,Objective-C,,,Ruby,,,Love my job,Mac OS X,1/25/2013
20-24,2/5/2013,United States of America,"$80,000 - $100,000",,,,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 8,"1,000-3,000"
30-34,11,United States of America,,C,C++,,,,,,,,,Python,,,,Love my job,Linux,26-100
30-34,6/10/2013,Other Europe,"$20,000 - $40,000",,,,Java,,,,,,,,,,,I enjoy going to work,Linux,101-999
20-24,2/5/2013,Other Europe,Rather not say,,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,26-100
25-29,11,United States of America,"$80,000 - $100,000",,,,,JavaScript,jQuery,,,,,Python,,,"Haskell, CoffeeScript",I enjoy going to work,Mac OS X,101-999
20-24,2/5/2013,United States of America,"$40,000 - $60,000",,,C#,Java,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 7,"1,000-3,000"
30-34,6/10/2013,United States of America,"$100,000 - $120,000",,,,Java,JavaScript,jQuery,,,,,,,,Scala,It's a paycheck,Linux,26-100
25-29,6/10/2013,Other Europe,"<$20,000",C,,,,JavaScript,jQuery,,,,PHP,,Ruby,SQL,,I'm not happy in my job,Linux,1/25/2013
40-50,11,Canada,"$80,000 - $100,000",,,C#,,,,,,,,,,SQL,,Love my job,Windows 7,101-999
40-50,11,United States of America,"$60,000 - $80,000",,,C#,,,,,,,,,,,VB6,I'm not happy in my job,Windows 7,26-100
30-34,6/10/2013,United States of America,"$80,000 - $100,000",,C++,C#,Java,,,,,,,Python,,,,It's a paycheck,Windows 7,3001
25-29,11,United States of America,"$100,000 - $120,000",,C++,,,,,,,,,Python,,,,I enjoy going to work,Windows 7,26-100
40-50,11,United Kingdom,"$40,000 - $60,000",C,C++,C#,,,,,,,,Python,,SQL,,Love my job,Windows 7,26-100
40-50,11,Other Europe,"$100,000 - $120,000",,C++,,Java,,,,,,,,,SQL,,Love my job,Windows 7,26-100
35-39,11,Other Europe,"$40,000 - $60,000",,,C#,,,,,,,,,,,,I enjoy going to work,Windows 7,"1,000-3,000"
25-29,6/10/2013,United States of America,"$60,000 - $80,000",,,C#,,,,,,,,Python,,,,I enjoy going to work,Linux,1/25/2013
35-39,6/10/2013,Other Europe,"$100,000 - $120,000",,,,Java,JavaScript,,,,,,Python,,,,I enjoy going to work,Linux,"1,000-3,000"
40-50,11,United States of America,">$140,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,"1,000-3,000"
20-24,2/5/2013,South America,"<$20,000",,,C#,Java,,,,,,,,,SQL,,I'm not happy in my job,Windows 7,1/25/2013
20-24,6/10/2013,Germany,,,,C#,,JavaScript,,,,,,Python,,,,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
35-39,<2,South America,Rather not say,,,,,,,,,,,Python,,,R,It's a paycheck,Linux,3001
40-50,11,United States of America,"$40,000 - $60,000",,,,,,,,,,,,,,R,Love my job,Mac OS X,3001
51-60,11,United States of America,Rather not say,,,,,JavaScript,jQuery,,,,PHP,,,,,Love my job,Linux,1/25/2013
40-50,11,United States of America,,,,,Java,JavaScript,jQuery,,,,,,,,,Love my job,Mac OS X,3001
20-24,6/10/2013,United States of America,"$80,000 - $100,000",C,C++,,Java,JavaScript,jQuery,,Node.js,,,,,SQL,Bash,I enjoy going to work,Linux,101-999
20-24,6/10/2013,Other Asia,,,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,It's a paycheck,Windows 8,1/25/2013
< 20,2/5/2013,United States of America,Rather not say,,,C#,Java,,,,,,PHP,,Ruby,,,I enjoy going to work,Linux,26-100
30-34,<2,United States of America,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
35-39,11,Canada,"$40,000 - $60,000",,,,,,jQuery,JQuery,,,PHP,,,SQL,mongodb,I'm not happy in my job,Windows 7,1/25/2013
35-39,11,United Kingdom,Rather not say,C,C++,C#,Java,JavaScript,jQuery,,,Objective-C,,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
35-39,11,United Kingdom,"$80,000 - $100,000",,,C#,,,,,,,,,Ruby,SQL,,It's a paycheck,Windows 7,3001
30-34,6/10/2013,Germany,"$40,000 - $60,000",,,C#,,,,,,,,,,,,I enjoy going to work,Windows XP,3001
30-34,6/10/2013,Australia,"$80,000 - $100,000",,,C#,,,,,,,,,,,,I enjoy going to work,Windows 8,26-100
40-50,11,United States of America,"$60,000 - $80,000",,,C#,,,,,,,,,,SQL,VB6 baby!,Love my job,Windows XP,26-100
30-34,6/10/2013,United States of America,"$80,000 - $100,000",,,,Java,JavaScript,jQuery,,,,,,Ruby,SQL,,It's a paycheck,Windows 7,"1,000-3,000"
35-39,6/10/2013,Africa,"$60,000 - $80,000",,C++,C#,,,,,,,,,,SQL,,I enjoy going to work,Windows 7,26-100
35-39,11,United Kingdom,"$80,000 - $100,000",C,,,,,,,,,,Python,,,,It's a paycheck,Windows 7,3001
35-39,11,United States of America,"$80,000 - $100,000",,,,,,,,,Objective-C,PHP,,,SQL,,I enjoy going to work,Mac OS X,1/25/2013
25-29,6/10/2013,United States of America,"$80,000 - $100,000",,,,,JavaScript,jQuery,,,,,Python,,SQL,,I enjoy going to work,Mac OS X,1/25/2013
30-34,11,Canada,,,,C#,,,,,,,,,,,,I enjoy going to work,Windows 7,26-100
51-60,11,Other Europe,"$80,000 - $100,000",C,C++,,Java,JavaScript,,,,Objective-C,,Python,Ruby,SQL,,Love my job,Mac OS X,26-100
30-34,6/10/2013,Middle East,Rather not say,,,,Java,,,,,,,,,,,Love my job,Windows 8,1/25/2013
25-29,2/5/2013,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,3001
25-29,6/10/2013,Germany,"$60,000 - $80,000",C,,,Java,,,,,,,,,,"scala, labview",I enjoy going to work,Windows 7,26-100
40-50,11,United States of America,"$120,000 - $140,000",,,,Java,JavaScript,,,,,,,,SQL,YUI,I enjoy going to work,Mac OS X,"1,000-3,000"
25-29,2/5/2013,Other Asia,"$20,000 - $40,000",,,,,,,,,,PHP,,Ruby,,,Hate my job,Mac OS X,101-999
51-60,11,United States of America,"$80,000 - $100,000",C,C++,,Java,,,,,,,,,,,I wish I had a job!,Other,"Other (not working, consultant, etc.)"
< 20,2/5/2013,Germany,Student / Unemployed,C,,,,,,,,,,,,,"Pascal, Lua",I enjoy going to work,Other,"Other (not working, consultant, etc.)"
40-50,11,United States of America,Rather not say,C,,,,JavaScript,,,,,,Python,,,"Scheme, Haskell, OCaml, Lua",I enjoy going to work,Linux,3001
25-29,2/5/2013,United Kingdom,"$40,000 - $60,000",,,,Java,JavaScript,jQuery,JQuery,,,,,Ruby,SQL,,I enjoy going to work,Windows 7,101-999
25-29,2/5/2013,Other Europe,"$20,000 - $40,000",,,,Java,JavaScript,jQuery,,Node.js,,PHP,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
20-24,6/10/2013,United Kingdom,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,,,,Ruby,SQL,Ruby on Rails,I enjoy going to work,Mac OS X,26-100
30-34,6/10/2013,United States of America,,,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows XP,1/25/2013
25-29,6/10/2013,United Kingdom,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,,Python,,SQL,,Love my job,Linux,101-999
25-29,6/10/2013,Germany,"$60,000 - $80,000",,C++,C#,,,,,,,,,,,,Love my job,Windows 7,1/25/2013
25-29,11,Other Europe,"$20,000 - $40,000",,C++,,Java,,jQuery,,,,PHP,Python,,SQL,,I enjoy going to work,Linux,1/25/2013
20-24,2/5/2013,Other Europe,Student / Unemployed,,,,Java,JavaScript,jQuery,,,,,Python,,SQL,Smalltalk,I wish I had a job!,Mac OS X,"Other (not working, consultant, etc.)"
35-39,11,United Kingdom,"$20,000 - $40,000",,,,,,,,,,,,,,,I enjoy going to work,Windows XP,"1,000-3,000"
20-24,2/5/2013,India,"<$20,000",,,,Java,JavaScript,,,,,,,,,vxml,I enjoy going to work,Windows 7,101-999
20-24,2/5/2013,United States of America,Rather not say,,C++,,Java,JavaScript,jQuery,,,,PHP,Python,,SQL,,I enjoy going to work,Windows 7,1/25/2013
20-24,2/5/2013,United Kingdom,"$20,000 - $40,000",,,,Java,JavaScript,jQuery,,Node.js,,,,,,,I enjoy going to work,Windows XP,3001
30-34,2/5/2013,South America,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,,,,,SQL,"VB, ASP.NET, jQueryMobile",I enjoy going to work,Windows XP,1/25/2013
40-50,6/10/2013,United States of America,"$100,000 - $120,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,101-999
40-50,11,United States of America,"$80,000 - $100,000",,C++,,,,,,,,,Python,,,,Love my job,Linux,26-100
< 20,2/5/2013,United States of America,Rather not say,,,C#,,,,,,,,,,,,I enjoy going to work,Windows 8,1/25/2013
20-24,2/5/2013,Other Asia,"<$20,000",,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows 7,1/25/2013
< 20,2/5/2013,United States of America,Student / Unemployed,,,,Java,JavaScript,jQuery,,Node.js,,,Python,,,MongoDB,Love my job,Linux,1/25/2013
