string_field_2,string_field_3,string_field_0,string_field_39,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_38,string_field_37,string_field_5
,,United Kingdom,,,,,,,,,,,,,,,,,,,
< 20,<2,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,41070,France,,,,,,,,,,,,,,,,,,,
30-34,11,United States of America,,,,,,,,,,,,,,,,,,,
20-24,<2,United States of America,,,,,,,,,,,,,,,,,,,
30-34,41070,Netherlands,,,,,,,,,,,,,,,,,,,
< 20,40944,Other Europe,,,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,,Windows 7,Student
,,Australasia,,,,,,,,,,,,,,,,,,,
,,Australasia,,,,,,,,,,,,,,,,,,,
20-24,<2,United States of America,,,,,,,,,,,,,,,,,,,Start Up (1-25)
30-34,41070,Other Europe,,,,,,,,,,,,,,,,,,,
,,Australasia,,,,,,,,,,,,,,,,,,,
30-34,41070,United States of America,,,,,,,,,,,,,,,,,,,
25-29,11,South America,,,,,,,,,,,,,,,,,,,
,,Australasia,,,,,,,,,,,,,,,,,,,
30-34,41070,Other Europe,,,,,,,,,,,,,,,,,,,Start Up (1-25)
35-39,41070,United States of America,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,,,,,,,,,,,,,,,
25-29,41070,United States of America,,,,,,,,,,,,,,,,,,,
,,France,,,,,,,,,,,,,,,,,,,
,,Russia,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
35-39,11,United Kingdom,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Asia,,,,,,,,,,,,,,,,,,,
25-29,41070,Other Europe,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
,,Africa,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Other Asia,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
25-29,<2,India,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,,
40-50,11,Australasia,,,,,,,,,,,,,,,,,,,Start Up (1-25)
< 20,41070,Germany,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,
30-34,41070,Other Europe,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,11,Other Asia,,,,,,,,,,,,,,,,,,,Student
30-34,41070,United States of America,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
20-24,40944,United Kingdom,,,,,,,,,,,,,,,,,,,Start Up (1-25)
25-29,41070,Africa,,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,,
25-29,<2,United States of America,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
35-39,41070,Italy,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
,,United States of America,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,Start Up (1-25)
35-39,11,United States of America,,,,,,,,,,,,,,,,,,,
20-24,<2,Africa,,,,CSS,,,,,,,,,,,,,Hate my job,Linux,Mid Sized (100-999)
20-24,<2,Netherlands,,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,,
20-24,40944,South America,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
,,Africa,,,,,,,,,,,,,,,,,,,
25-29,40944,Netherlands,,,,,,,,,,,,,,,,,,,Student
,,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
35-39,11,United States of America,,,,,,,,,,,,,,,,,,,
25-29,40944,India,,Java,,,,,,,SQL,,,,Perl,,,Bash,,Windows XP,"Fortune 1000 (1,000+)"
< 20,40944,Other Europe,,,,,,,,,,,,,,,,,,,
< 20,<2,Germany,,,,,,,,,,,,,,,,,,,
>60,11,United Kingdom,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
,,Australasia,,,,,,,,,,,,,,,,,,,
,,Central America,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
40-50,11,United Kingdom,,,,,,,,,,,,,,,,,,,
30-34,11,United States of America,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Asia,,,,,,,,,,,,,,,,,,,
20-24,41070,United States of America,,,,,,,,,,,,,,,,,,,
35-39,11,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,<2,United States of America,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
,,India,,,,,,,,,,,,,,,,,,,
25-29,40944,North America (Other),,,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
25-29,40944,Netherlands,,,,,PHP,Python,Objective-C,,,C#,C++,,,,,,,Windows Vista,Start Up (1-25)
25-29,40944,Canada,,,,,,,,,,,,,,,,,,,
30-34,<2,Other Europe,,,,,,,,,,,,,,,,,,,Student
,,Africa,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,,
,,Australia,,,,,,,,,,,,,,,,,,,
25-29,<2,India,,,,,,,,,,,,,,,,,,,
35-39,11,United States of America,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,40944,France,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,Bangladesh,,,,,,,,,,,,,,,,,,,
25-29,<2,India,,Java,JavaScript,,,,Objective-C,,SQL,,C++,C,,HTML5,,,,Windows XP,Mid Sized (100-999)
25-29,41070,Other Europe,,Java,JavaScript,CSS,,,,,SQL,,,,,,,,,Linux,Start Up (1-25)
20-24,40944,Other Asia,,Java,JavaScript,CSS,PHP,Python,,,SQL,,,,,,,,,Windows Vista,Start Up (1-25)
40-50,11,United States of America,,,,,,,,,,,,,,,,,,,
40-50,41070,United States of America,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,India,,,,,,,,,,,,,,,,,,,
25-29,41070,United Kingdom,,,,,,,,,,,,,,,,,,,
< 20,40944,Netherlands,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,Russia,,,,,,,,,,,,,,,,,,,
25-29,<2,India,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
,,India,,,,,,,,,,,,,,,,,,,
20-24,<2,United Kingdom,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,,,,,,,,,,,,,,,
30-34,40944,Other Europe,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,
40-50,11,United States of America,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
20-24,<2,India,,,,,,,,,,,,,,,,,,,
30-34,40944,Other Asia,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
25-29,40944,Netherlands,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,C,,,,,,Windows 7,Student
25-29,<2,Other Europe,,Java,,,,,,,SQL,,,,,,,,,Linux,"Fortune 1000 (1,000+)"
35-39,11,France,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
,,United States of America,,,,,,,,,,,,,,,,,,,
20-24,<2,Canada,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,South America,,,,,,,,,,,,,,,,,,,
25-29,40944,South America,,,,,,,,,,,,,,,,,,,Start Up (1-25)
25-29,<2,Australasia,,,,,,,,,,,,,,,,,,,
25-29,41070,Other Europe,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,,
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
,,North America (Other),,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,Java,,,,,,,,,,,,,,,,Windows 7,Mid Sized (100-999)
20-24,40944,Russia,,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,,Windows 7,Mid Sized (100-999)
20-24,<2,Other Europe,,,,,,Python,,,,,,,,,,,,Windows 7,Student
< 20,40944,Other Europe,,,,,,,,,,,,,,,,,,,
,,Australia,,,,,,,,,,,,,,,,,,,
40-50,11,United Kingdom,,,,,,,,,,,,,,,,,,,Start Up (1-25)
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,<2,Russia,,,,,,,,,,,,,,,,,,,
40-50,11,Canada,,,,,,,,,,,,,,,,,,,
< 20,40944,Australia,,,,,,,,,,,,,,,,,,,
25-29,<2,Australasia,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
>60,<2,Australasia,,,,,,,,,,,,,,,,,,,
20-24,40944,United States of America,,,JavaScript,CSS,PHP,,,,,,C++,C,,HTML5,,,,Mac OS X,Student
20-24,<2,Other Europe,,Java,,,,,,,,,,,,,,,,Windows 7,Mature Small Business (25-100)
30-34,40944,Germany,,,,,,,,,,,,,,,,,,,
35-39,11,Canada,,,,,,,,,,,,,,,,,,,Start Up (1-25)
35-39,11,Other Europe,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
25-29,<2,Other Asia,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
25-29,11,India,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,11,Russia,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
25-29,40944,India,,,,,,,,,,,,,,,,,,,
< 20,<2,Middle East,,,,,,,,,,,C++,,,,,,,Windows 7,Start Up (1-25)
,,Other Asia,,,,,,,,,,,,,,,,,,,
25-29,<2,India,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,France,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,41070,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,Student
25-29,<2,Other Europe,,,,,,,,,,,,,,,,,,,Student
25-29,40944,Other Asia,,Java,JavaScript,CSS,,,,,SQL,,C++,,,,,,,Windows XP,Mature Small Business (25-100)
20-24,<2,India,,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,,Windows 7,"Fortune 1000 (1,000+)"
25-29,41070,India,,,,,,,,,,,,,,,,,,,
25-29,<2,South America,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,
30-34,11,Other Europe,,,,,,,,,,,,,,,,,,,Start Up (1-25)
20-24,<2,United States of America,,,,,,,,,,,,,,,,,,,
25-29,40944,Australia,,,,,,,,,,,,,,,,,,,
30-34,11,Germany,,,,,,,,,,,,,,,,,,,Start Up (1-25)
25-29,40944,Other Asia,,,,,,,,,,,,,,,,,,,
,,Australia,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
35-39,41070,Other Asia,,,,,,,,,,,,,,,,,,,
40-50,<2,Italy,,,,,,,,,,,,,,,,,,,
25-29,<2,United Kingdom,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
20-24,40944,Other Asia,,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,,
30-34,41070,United States of America,,,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
,,Russia,,,,,,,,,,,,,,,,,,,
25-29,41070,United States of America,,,,,,,,,,,,,,,,,,,
25-29,11,Canada,,,,,,,,,,,,,,,,,,,
40-50,40944,United States of America,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
,,United Kingdom,,,,,,,,,,,,,,,,,,,
25-29,41070,Germany,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,Java,,,,Python,,,,,C++,,,,,,,Windows 7,Mid Sized (100-999)
20-24,<2,Australasia,,,,,,,,,,,,,,,,,,Linux,Student
,,United Kingdom,,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,,
20-24,40944,United States of America,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
20-24,40944,Other Asia,,,,,,,,,,,,,,,,,,,Student
30-34,40944,United States of America,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,41070,Canada,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
,,Other Asia,,,,,,,,,,,,,,,,,,,
20-24,40944,India,,,,,,Python,,,,,,C,,,,,,Linux,Mid Sized (100-999)
,,India,,,,,,,,,,,,,,,,,,,
25-29,40944,United States of America,,,,,,,,,,,,,,,,,,,
< 20,40944,Australia,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
,,Australasia,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
,,Australasia,,,,,,,,,,,,,,,,,,,
20-24,40944,South America,,,,,,,,,,,,,,,,,,,
,,Other Asia,,,,,,,,,,,,,,,,,,,
35-39,41070,United Kingdom,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
30-34,41070,Canada,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,United States of America,,,,,,,,,,,,,,,,,,,
25-29,40944,India,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
51-60,11,United States of America,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
35-39,11,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,40944,United States of America,,,,,,,,,,,,,,,,,,,
20-24,41070,Other Europe,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
,,Germany,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,,
30-34,41070,Other Europe,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
20-24,<2,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,41070,United Kingdom,,,,,,,,,,,,,,,,,,,
20-24,40944,India,,,,,,,,,,,,,,,,,,,Start Up (1-25)
25-29,40944,India,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
,,Netherlands,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
< 20,<2,Other Asia,,,,,,,,,,,,,,,,,,,
>60,11,India,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
20-24,40944,United States of America,,,,,,,,,,,,,,,,,,,
< 20,40944,Other Europe,,Java,,,,,,,,,,,,,,,,Windows 7,"Other (not working, consultant, etc.)"
25-29,11,Other Europe,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,Other Asia,,,,,,,,,,,,,,,,,,,
,,Australia,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
>60,11,Africa,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
,,Central America,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,<2,Other Europe,,,,,,,,,,,,,,,,,,,
,,France,,,,,,,,,,,,,,,,,,,
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,Africa,,,,,,,,,,,,,,,,,,,
35-39,11,United Kingdom,,,,,,,,,,,,,,,,,,,
< 20,<2,United States of America,,,,,,,Objective-C,,,,,C,,,,,,Mac OS X,Start Up (1-25)
20-24,40944,Other Asia,,,,,,Python,,,,,,C,,,,,,Linux,"Fortune 1000 (1,000+)"
,,India,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
35-39,40944,Other Europe,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
,,Bangladesh,,,,,,,,,,,,,,,,,,,
30-34,41070,United States of America,,,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
,,Canada,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,40944,Netherlands,,,,,,,,,,,,,,,,,,,Student
,,United States of America,,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
,,Bangladesh,,,,,,,,,,,,,,,,,,,
25-29,40944,Middle East,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
25-29,41070,Other Europe,"$20,000 - $40,000",Java,JavaScript,,,,,,,C#,,,,,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
< 20,41070,Australia,Student / Unemployed,,JavaScript,CSS,PHP,Python,,,,,C++,,,HTML5,,,I wish I had a job!,Linux,Student
30-34,40944,Canada,Student / Unemployed,Java,JavaScript,CSS,PHP,Python,,,SQL,,C++,C,,HTML5,,,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
20-24,41070,Canada,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
20-24,<2,Other Asia,Rather not say,Java,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
35-39,11,United States of America,Rather not say,,JavaScript,CSS,PHP,,,,SQL,C#,C++,C,Perl,HTML5,,,I'm not happy in my job,Windows 7,Mid Sized (100-999)
20-24,40944,United Kingdom,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,Python,,,,,,,,HTML5,,,Its a paycheck,Windows 7,Start Up (1-25)
25-29,11,United States of America,Rather not say,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,I'm not happy in my job,Windows 7,Mature Small Business (25-100)
20-24,40944,United States of America,Student / Unemployed,Java,JavaScript,CSS,PHP,,Objective-C,,,,C++,C,,HTML5,,,Love my job,Mac OS X,Student
25-29,40944,United States of America,Rather not say,,,,,Python,,,,,,C,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
25-29,41070,Italy,"<$20,000",,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Its a paycheck,Windows 7,Start Up (1-25)
30-34,40944,India,"$60,000 - $80,000",,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
35-39,11,United States of America,"$100,000 - $120,000",,,,,,,,,,C++,C,,,,Tcl/Tk Elisp,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
30-34,41070,Other Europe,Rather not say,,JavaScript,CSS,,,Objective-C,Ruby,,,,,,HTML5,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
25-29,40944,India,"<$20,000",,JavaScript,,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
< 20,<2,United States of America,Student / Unemployed,,JavaScript,,,,,,,C#,,,,,,,I wish I had a job!,Windows 7,Student
20-24,40944,United States of America,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,SQL,C#,,,,,,,Its a paycheck,Windows 7,Mid Sized (100-999)
35-39,11,United States of America,"$60,000 - $80,000",,JavaScript,CSS,,,,,,,,,Perl,HTML5,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
25-29,40944,United States of America,"$40,000 - $60,000",,,CSS,,,,,,C#,,,,HTML5,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
30-34,11,United States of America,Student / Unemployed,,,,,,,,,,,C,,,,,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
< 20,40944,Italy,Student / Unemployed,,,,,,,Ruby,,C#,,,,,,,I enjoy going to work,Windows 7,Student
25-29,40944,United States of America,"$40,000 - $60,000",Java,JavaScript,CSS,,Python,,,,,,,,,,,I'm not happy in my job,Linux,Mature Small Business (25-100)
25-29,40944,United States of America,"$80,000 - $100,000",Java,JavaScript,CSS,,,,Ruby,,C#,,,,HTML5,,,Love my job,Mac OS X,"Fortune 1000 (1,000+)"
25-29,40944,France,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,,,,,,,HTML5,,,Love my job,Mac OS X,Mature Small Business (25-100)
25-29,41070,United States of America,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,Python,,,SQL,,C++,C,Perl,HTML5,,,Its a paycheck,Mac OS X,"Fortune 1000 (1,000+)"
25-29,40944,Australia,Rather not say,,,,,Python,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
25-29,40944,United States of America,Rather not say,,JavaScript,,,,,,SQL,C#,C++,C,,HTML5,,,Love my job,Windows 7,Mature Small Business (25-100)
30-34,41070,Other Europe,"$20,000 - $40,000",,,,,,,,,,C++,C,,,,Bash,Its a paycheck,Windows 7,Mature Small Business (25-100)
40-50,41070,United States of America,"$80,000 - $100,000",,,,,,,,,C#,,,,,,,Hate my job,Windows 7,Mid Sized (100-999)
30-34,11,Other Asia,"$20,000 - $40,000",Java,JavaScript,CSS,,,,,SQL,,,,,,,,I'm not happy in my job,Windows 7,Mature Small Business (25-100)
25-29,11,United States of America,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,Python,,,SQL,,C++,,,HTML5,,,Its a paycheck,Windows XP,Mid Sized (100-999)
20-24,40944,Australia,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,,,,,,,HTML5,,ActionScript 3,Love my job,Windows 7,Start Up (1-25)
30-34,11,United Kingdom,Rather not say,,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,41070,Russia,"$20,000 - $40,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Love my job,Windows 7,Start Up (1-25)
30-34,11,United States of America,"$100,000 - $120,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,C,,,,Several others,I enjoy going to work,Other,Mid Sized (100-999)
20-24,41070,Russia,"$20,000 - $40,000",,JavaScript,,PHP,,,Ruby,,,,,,HTML5,,,I enjoy going to work,Mac OS X,Start Up (1-25)
25-29,11,United Kingdom,"$40,000 - $60,000",,JavaScript,,,,,,,,,,,HTML5,,vb6 vb.net,Its a paycheck,Windows 7,"Fortune 1000 (1,000+)"
25-29,40944,Other Europe,"<$20,000",Java,JavaScript,,,,,,,,,,,,,,I'm not happy in my job,Linux,Start Up (1-25)
40-50,11,United States of America,"$100,000 - $120,000",Java,,,,,,,SQL,C#,C++,C,,,,,Its a paycheck,Windows XP,"Fortune 1000 (1,000+)"
20-24,41070,France,Rather not say,Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,C,,,,,I wish I had a job!,Windows 7,Start Up (1-25)
25-29,40944,United States of America,"$40,000 - $60,000",,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
20-24,41070,Canada,"$80,000 - $100,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,C,Perl,HTML5,,,Love my job,Mac OS X,Start Up (1-25)
25-29,40944,Other Europe,"<$20,000",Java,JavaScript,CSS,,,,,,,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
25-29,41070,Central America,"$20,000 - $40,000",,JavaScript,CSS,,,,,,,,,,HTML5,,,Love my job,Windows 7,Mid Sized (100-999)
20-24,<2,Middle East,"<$20,000",,JavaScript,,,,,Ruby,,C#,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
20-24,40944,United States of America,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,mysql,I enjoy going to work,Windows 7,Start Up (1-25)
20-24,41070,Central America,"<$20,000",,JavaScript,CSS,PHP,,Objective-C,Ruby,SQL,,,,,HTML5,,,Love my job,Mac OS X,Start Up (1-25)
20-24,41070,Canada,Student / Unemployed,,JavaScript,,,Python,,,,,,C,,HTML5,,,I wish I had a job!,Mac OS X,Student
20-24,<2,Other Europe,Student / Unemployed,,JavaScript,CSS,,Python,,,,,,,,HTML5,,,I wish I had a job!,Linux,Student
25-29,11,United States of America,"$60,000 - $80,000",,,,,Python,,,SQL,,,C,,,,Matlab,I enjoy going to work,Linux,Start Up (1-25)
25-29,41070,United States of America,"$100,000 - $120,000",Java,JavaScript,CSS,,Python,,,SQL,C#,C++,,,HTML5,,,Its a paycheck,Windows 7,"Other (not working, consultant, etc.)"
20-24,41070,Other Europe,,Java,,,PHP,,,,SQL,C#,,,,,,,I'm not happy in my job,Windows 7,Student
20-24,<2,Canada,Student / Unemployed,Java,JavaScript,CSS,PHP,Python,,,SQL,,C++,C,,HTML5,,,I wish I had a job!,Mac OS X,Student
20-24,40944,India,Rather not say,,JavaScript,,,,,,,C#,,,,,,,I'm not happy in my job,Windows XP,"Fortune 1000 (1,000+)"
25-29,40944,Canada,"$60,000 - $80,000",Java,JavaScript,,PHP,,,,SQL,,,,Perl,,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
25-29,41070,Italy,"$20,000 - $40,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,ASP/VBScript,Its a paycheck,Windows 7,Mid Sized (100-999)
25-29,41070,Russia,"$20,000 - $40,000",,,CSS,,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
20-24,<2,India,"<$20,000",Java,JavaScript,,,,,,,,,,,,,,I'm not happy in my job,Windows 7,"Fortune 1000 (1,000+)"
20-24,41070,United Kingdom,Student / Unemployed,Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,C++,C,,HTML5,,,Love my job,Mac OS X,Student
