string_field_3,string_field_5,string_field_0,string_field_7,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53,string_field_4,string_field_67,string_field_9
30-34,11,Taiwan,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,2/5/2014,Canada,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,Germany,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
20-24,<2,Germany,"<$20,000",,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,Russia,"<$20,000",,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,Canada,"<$20,000",,,,,,,,,,,,,Male,,1/5/2014
20-24,<2,Ireland,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,Germany,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,2/5/2014,Turkey,Student / Unemployed,,,,,JavaScript,,,,,,,google maps api,Male,Windows 8,
< 20,2/5/2014,United States,Student / Unemployed,C,C++,C#,Java,JavaScript,,Objective-C,PHP,Python,Ruby,SQL,,Male,Linux,
< 20,2/5/2014,Israel,Student / Unemployed,,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 8,
25-29,<2,United Kingdom,"$40,000 - $60,000",,,,,,,,,,,,,Male,,6/15/2014
25-29,2/5/2014,Poland,Rather not say,,,,,,,,,,,,,Male,,100
30-34,11,China,"$40,000 - $60,000",,,,,,,,,,,,,Male,,100
20-24,<2,United Kingdom,"$40,000 - $60,000",,,C#,,,,,,,,,VB.Net,Male,Windows 7,6/15/2014
25-29,2/5/2014,United States,"$40,000 - $60,000",,,,,,,,,,,,,Male,,6/15/2014
35-39,11,United States,"$120,000 - $140,000",,,,,,,,,,,,,Male,,16-30
25-29,2/5/2014,Russia,Rather not say,,,,Java,,,,,,,SQL,,Male,Windows 8,16-30
,,United States,,,,,,,,,,,,,,,,
,,Argentina,,,,,,,,,,,,,,,,
,,Philippines,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,Switzerland,,,,,,,,,,,,,,,,
,,Macedonia [FYROM],,,,,,,,,,,,,,,,
,,Russia,,,,,,,,,,,,,,,,
25-29,11,Spain,"<$20,000",,,,,,,,,,,,,Male,,
< 20,<2,United States,Student / Unemployed,,,,Java,JavaScript,,,,Python,,,,Male,Windows 7,
20-24,<2,Canada,"$20,000 - $40,000",,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,United Kingdom,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,United States,"$80,000 - $100,000",,,,,,,,,,,,,Male,,100
25-29,<2,Lithuania,"<$20,000",,,,,,,,,,,,,Male,,16-30
20-24,6/10/2014,Netherlands,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,Dominican Republic,,,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,Estonia,"$60,000 - $80,000",,,,,,,,,,,,,Male,,
35-39,11,Netherlands,"$40,000 - $60,000",,,,,,,,,,,,,Male,,16-30
25-29,6/10/2014,Israel,"$60,000 - $80,000",,,,,,,,,,,,,Male,,
20-24,<2,United States,"$80,000 - $100,000",,,C#,Java,,,,,,,,,Male,Windows 8,1/5/2014
25-29,2/5/2014,Canada,"$40,000 - $60,000",,,,,,,,,,,,,Male,,6/15/2014
30-34,6/10/2014,Spain,"$60,000 - $80,000",,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,Bulgaria,Rather not say,,,,,,,,,,,,,Male,,6/15/2014
40-50,11,United Kingdom,Rather not say,,,,,,,,,,,,"Classic ASP, VB6",Male,Windows 8,16-30
20-24,<2,Latvia,"<$20,000",C,C++,,,,,Objective-C,,,,,,Male,Windows 7,100
< 20,2/5/2014,Philippines,Student / Unemployed,,,,,,,,,,,,,Male,,
,,Thailand,,,,,,,,,,,,,,,,
,,Switzerland,,,,,,,,,,,,,,,,
,,Poland,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,Philippines,,,,,,,,,,,,,,,,
51-60,11,United States,,,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,Italy,"<$20,000",,,,,,,,,,,,,Female,,6/15/2014
20-24,2/5/2014,Algeria,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,<2,Romania,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
< 20,<2,Algeria,"<$20,000",,,,,,,,,,,,,Female,,1/5/2014
25-29,11,Serbia,Rather not say,,,,,,,,,,,,,Male,,100
20-24,<2,United States,"$40,000 - $60,000",,,,,,,,,Python,,,VBA,Male,Windows 7,1/5/2014
< 20,<2,India,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,2/5/2014,Switzerland,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,Greece,Student / Unemployed,,,,,,,,,,,,,Female,Windows 7,
< 20,2/5/2014,United States,Student / Unemployed,,C++,,,JavaScript,,Objective-C,PHP,Python,,,,Male,Mac OS X,
20-24,<2,Germany,"$40,000 - $60,000",,,,,,,,,,,,,Male,,1/5/2014
< 20,6/10/2014,Spain,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,Germany,"$20,000 - $40,000",,,,,,,,,,,,,Male,,6/15/2014
25-29,2/5/2014,Mexico,"$20,000 - $40,000",,,,,,,,,,,,,Male,,100
30-34,11,United States,,,,,,,,,,,,,,Male,,
30-34,11,United States,">$140,000",,,,,,,,,,,,,Male,,1/5/2014
30-34,11,India,"$100,000 - $120,000",,,,,,,,,,,,,Male,,
20-24,2/5/2014,Poland,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
25-29,6/10/2014,Turkey,Rather not say,,,,,,,,,,,,,Male,,100
,,Argentina,,,,,,,,,,,,,,,,
,,Ecuador,,,,,,,,,,,,,,,,
,,Bulgaria,,,,,,,,,,,,,,,,
,,Portugal,,,,,,,,,,,,,,,,
,,Poland,,,,,,,,,,,,,,,,
,,Australia,,,,,,,,,,,,,,,,
,,Bulgaria,,,,,,,,,,,,,,,,
,,Algeria,,,,,,,,,,,,,,,,
25-29,2/5/2014,China,Student / Unemployed,,,,,,,,,,,,,Male,,16-30
25-29,<2,Romania,Student / Unemployed,,,,,,,,,,,,,Prefer not to disclose,,
< 20,2/5/2014,France,Student / Unemployed,,,,,,,,,,,,,Male,,16-30
25-29,2/5/2014,India,Student / Unemployed,,,,,,,,,,,,,Male,,6/15/2014
20-24,2/5/2014,Philippines,Rather not say,,,,,,,,,,,,,Male,,
< 20,<2,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,<2,Belgium,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,<2,South Korea,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,<2,United States,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,United States,Student / Unemployed,,C++,,,,,Objective-C,,Python,,,,Male,Ubuntu,
20-24,2/5/2014,Switzerland,Student / Unemployed,,C++,,,,,,PHP,Python,,SQL,,Male,Windows 7,1/5/2014
30-34,2/5/2014,United States,,,,,,,,,,,,,,Male,,
< 20,6/10/2014,Belgium,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,Singapore,"$40,000 - $60,000",,,,,,,,,,,,,Male,,6/15/2014
35-39,2/5/2014,Sweden,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
25-29,6/10/2014,United Kingdom,Rather not say,,,,,,,,,,,,,Male,,
20-24,<2,India,Rather not say,,,,,,,,,,,,,Male,,
20-24,2/5/2014,France,Student / Unemployed,,,C#,Java,JavaScript,,,PHP,,,SQL,,Male,Windows 8,
20-24,<2,India,"$20,000 - $40,000",,,,,,,,,,,,,Male,,100
,,Austria,,,,,,,,,,,,,,,,
30-34,6/10/2014,United States,"<$20,000",,,,,,,,,,,,,Male,,
20-24,2/5/2014,Poland,Student / Unemployed,,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
20-24,2/5/2014,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,<2,Australia,Student / Unemployed,,,,,,,,,Python,,,Pascal,Male,Windows 7,
20-24,2/5/2014,Russia,,,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,Slovenia,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,2/5/2014,Macedonia [FYROM],Rather not say,,,,,,,,,,,,,Male,,
20-24,<2,India,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,2/5/2014,India,Student / Unemployed,C,C++,C#,Java,,,,PHP,Python,,SQL,,Female,Ubuntu,
< 20,2/5/2014,United States,Student / Unemployed,,,,,JavaScript,,,PHP,Python,,,Torquescript,Male,Mac OS X,
< 20,2/5/2014,Italy,Student / Unemployed,,,C#,,,,,,,,,,Male,Windows 7,
< 20,2/5/2014,Singapore,Student / Unemployed,,,,,,,,,Python,,SQL,,Male,Fedora,
20-24,<2,Spain,"$20,000 - $40,000",,,,,,,,,,,,,Male,,6/15/2014
20-24,<2,Bangladesh,Rather not say,,,,,,,,,,,,,Male,,
20-24,2/5/2014,India,"<$20,000",,,,,,,,,,,,,Male,,100
30-34,6/10/2014,Finland,Rather not say,,,,,,,,,,,,,Male,,
35-39,11,United States,">$140,000",,,,,,,,,,,,,Male,,100
25-29,<2,Canada,"$40,000 - $60,000",,,,,JavaScript,,,,,Ruby,,,Male,Mac OS X,1/5/2014
25-29,2/5/2014,India,Rather not say,,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,50-100
35-39,11,France,,C,C++,,Java,JavaScript,,,,,,SQL,,Male,Windows XP,16-30
< 20,2/5/2014,United Kingdom,"<$20,000",,,C#,,JavaScript,,,,,,,VB.NET,Male,Windows 7,16-30
35-39,6/10/2014,India,Rather not say,,,,,,,,,,,,,Male,,100
25-29,2/5/2014,India,,,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,India,"<$20,000",,C++,,Java,,,,,,,,,Male,Linux,100
30-34,6/10/2014,Poland,"$20,000 - $40,000",,,,Java,,,,,,,SQL,,Male,Windows 7,100
20-24,<2,Morocco,"<$20,000",,,,,,,,,,,,,Male,,
25-29,6/10/2014,Russia,,,,,,,,,,,,,,Male,,6/15/2014
25-29,2/5/2014,France,"$40,000 - $60,000",,,,,,,,,,,,,Male,,6/15/2014
,,Netherlands,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,
,,Ireland,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,
25-29,6/10/2014,United Kingdom,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,Netherlands,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,Austria,,,,,,,,,,,,,,Male,,
< 20,2/5/2014,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,2/5/2014,Colombia,Student / Unemployed,,,,,,,,,,,,,Male,,100
20-24,<2,Portugal,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,<2,Hungary,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
< 20,<2,Spain,Student / Unemployed,,C++,,,,,,,,,,,Male,Windows 7,
35-39,6/10/2014,Greece,,,,,Java,,,,,,,,,Male,Windows 7,
20-24,6/10/2014,Poland,Student / Unemployed,C,C++,,Java,,,,,,,,,Male,Ubuntu,
< 20,<2,United Kingdom,Student / Unemployed,,C++,,,JavaScript,,,PHP,,,,,Male,Windows 7,
< 20,<2,Sweden,Student / Unemployed,,,,Java,,,,,,,,,Male,Windows 7,1/5/2014
< 20,<2,United States,Student / Unemployed,,,,,,,,PHP,,,,,Male,Windows 8,
40-50,6/10/2014,France,"$40,000 - $60,000",,,,,,,,,,,,,Male,,100
20-24,11,Italy,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,Australia,"$40,000 - $60,000",,,,,,,,,,,,,Male,,31-50
35-39,11,United States,">$140,000",,,,,,,,,,,,,Male,,16-30
< 20,2/5/2014,Ukraine,Student / Unemployed,,,C#,Java,,,,,,,,,Male,Windows 7,1/5/2014
30-34,2/5/2014,United States,"$40,000 - $60,000",,,,,,,,,,,,,Male,,6/15/2014
40-50,11,Canada,"$100,000 - $120,000",,,,,,,,,,,,,Male,,100
,,Egypt,,,,,,,,,,,,,,,,
,,Serbia,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
25-29,2/5/2014,Poland,"$20,000 - $40,000",,,,,,,,,,,,,Male,,1/5/2014
>60,<2,France,Student / Unemployed,,,,,,,,,,,,,Female,,
35-39,11,Hungary,Rather not say,,,,,,,,,,,,,Male,,
20-24,<2,Serbia,,,,,,,,,,,,,,Male,,
20-24,2/5/2014,United States,"$20,000 - $40,000",,,,,,,,,,,,,Male,,
< 20,<2,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,2/5/2014,Italy,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,2/5/2014,Sri Lanka,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,<2,Sri Lanka,,,,C#,Java,JavaScript,,,,,,SQL,,Female,Windows 7,100
30-34,6/10/2014,Israel,"$80,000 - $100,000",,,,,,,,,,,,,Male,,100
25-29,2/5/2014,Poland,Rather not say,,,,,,,,,,,,,Male,,
25-29,<2,Germany,Rather not say,,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,31-50
25-29,2/5/2014,United Kingdom,Rather not say,,,,,,,,,,,,,Prefer not to disclose,,6/15/2014
25-29,2/5/2014,Denmark,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,Thailand,Rather not say,,,,,,,,,,,,,Male,,100
20-24,<2,France,"<$20,000",,,,,,,,,,,,,Male,,1/5/2014
20-24,<2,India,,,,,,,,,,,,,,Male,,100
20-24,2/5/2014,India,,,,,,,,,,,,,,Male,,31-50
20-24,2/5/2014,United States,Rather not say,,,,,,,,,,,,,Prefer not to disclose,,
< 20,2/5/2014,United States,,,,,,,,,,,,,,Male,,
25-29,2/5/2014,India,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
30-34,11,Italy,Rather not say,,,,,,,,,,,,,Male,,
20-24,<2,Ukraine,"<$20,000",,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,United States,"$100,000 - $120,000",,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,India,"<$20,000",,,,Java,JavaScript,,Objective-C,,,,,,Male,Windows 7,50-100
,,Denmark,,,,,,,,,,,,,,,,
,,Portugal,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,
,,Hong Kong,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,
51-60,11,United States,"$120,000 - $140,000",,,,,,,,,,,,,Male,,100
20-24,<2,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
35-39,11,India,,,,,,,,,,,,,,Prefer not to disclose,,
20-24,<2,United Kingdom,"$60,000 - $80,000",,,,,,,,,,,SQL,,Male,Windows 7,100
20-24,11,Australia,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,6/10/2014,Germany,Student / Unemployed,,,,,,,,,,,,,Male,,6/15/2014
20-24,2/5/2014,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,6/10/2014,Denmark,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,6/10/2014,Spain,Student / Unemployed,C,,,,JavaScript,,,PHP,Python,,SQL,Lua,Male,Linux,
< 20,<2,Bulgaria,,,,,,,,,,,,,,Male,Windows 7,
25-29,<2,United States,Rather not say,,,,,,,,,,,,,Male,,16-30
25-29,<2,United States,"$40,000 - $60,000",,,,,,,,,,,,,Male,,1/5/2014
25-29,6/10/2014,Singapore,"$100,000 - $120,000",,,,,,,,,,,,,Male,,1/5/2014
25-29,<2,Germany,Rather not say,,,,Java,,,,,Python,,SQL,,Male,Windows 7,31-50
20-24,<2,Poland,"<$20,000",,,,,,,,,,,,,Male,,6/15/2014
20-24,2/5/2014,United States,Rather not say,,,,,,,,,,,,,Male,,
40-50,11,United States,Rather not say,,,,,,,,,,,,,Male,,100
20-24,<2,India,Rather not say,,,,,,,,,,,,,Male,,
25-29,2/5/2014,India,"<$20,000",,,,,,,,,,,,,Male,,100
35-39,6/10/2014,Canada,,,,,,,,,,,,,,Male,,
25-29,2/5/2014,India,Rather not say,,,C#,,JavaScript,,,,,,,,Male,Windows 7,100
25-29,2/5/2014,Turkey,Rather not say,,,,,JavaScript,,,PHP,Python,,SQL,,Male,Ubuntu,
30-34,6/10/2014,China,"<$20,000",,,,,,,,,,,,,Male,,100
51-60,11,Germany,,,,,,,,,,,,,,Male,,
,,Algeria,,,,,,,,,,,,,,,,
,,Switzerland,,,,,,,,,,,,,,,,
,,Belgium,,,,,,,,,,,,,,,,
,,Russia,,,,,,,,,,,,,,,,
,,Ukraine,,,,,,,,,,,,,,,,
,,Argentina,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,
< 20,<2,United States,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
40-50,11,United Kingdom,"$40,000 - $60,000",,,,,,,,,,,,,Male,,
35-39,11,Netherlands,,,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,Poland,Student / Unemployed,,C++,,Java,,,,PHP,,,,,Male,Linux,
20-24,2/5/2014,Slovenia,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,2/5/2014,South Africa,Student / Unemployed,,,C#,,,,,PHP,,,,,Male,Windows 7,
< 20,<2,Greece,Student / Unemployed,C,,,Java,,,,,,,,,Male,Linux,
35-39,11,Germany,Student / Unemployed,,,,,,,,,,,,,Male,,
>60,<2,United States,Rather not say,,,,,,,,,,,,,Male,Windows 7,
20-24,2/5/2014,Germany,Student / Unemployed,,,,,,,,,,,,,Male,,
30-34,11,Germany,,,,,,,,,,,,,,Male,,1/5/2014
25-29,6/10/2014,Russia,Rather not say,,,,,,,,,,,,,Male,,6/15/2014
25-29,2/5/2014,United States,"$80,000 - $100,000",,,,,,,,,,,,,Male,,50-100
25-29,2/5/2014,India,Rather not say,,,,,,,,,,,,,Male,,6/15/2014
< 20,6/10/2014,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
35-39,11,Turkey,Rather not say,,,,,,,,,,,,,Male,,16-30
,,Algeria,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,
,,Slovakia,,,,,,,,,,,,,,,,
,,Czech Republic,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
51-60,11,United Kingdom,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
20-24,11,United Kingdom,"$20,000 - $40,000",,,,,,,,,,,,,Male,,
40-50,11,Norway,Rather not say,,,,,,,,,,,,,Male,,
>60,6/10/2014,Germany,">$140,000",,,,,,,,,,,,,Male,,100
20-24,<2,Tunisia,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,2/5/2014,France,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,United States,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
< 20,<2,Canada,,,C++,,Java,,,,,Python,,,,Male,Mac OS X,1/5/2014
< 20,2/5/2014,United States,Student / Unemployed,C,,,,JavaScript,,,,,,,bash,Male,Linux,
< 20,<2,Australia,Student / Unemployed,C,C++,,,JavaScript,,,PHP,Python,,,,Male,Mac OS X,
20-24,2/5/2014,United States,,,,,,,,,,,,,,Male,,
< 20,2/5/2014,United Kingdom,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
35-39,11,United States,Rather not say,,,,,,,,,,,,,Male,,
25-29,2/5/2014,India,"<$20,000",,,,,,,,,,,,,Male,,100
20-24,2/5/2014,United States,Rather not say,,,,,,,,,,,,,Male,,100
51-60,11,United States,"$60,000 - $80,000",,,,,,,,,,,,,Male,,1/5/2014
,,United Kingdom,,,,,,,,,,,,,,,,
,,Thailand,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,Ukraine,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,
,,Bangladesh,,,,,,,,,,,,,,,,
< 20,<2,United States,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
< 20,<2,Turkey,Student / Unemployed,,,,Java,,,,,,,,,Male,Ubuntu,
20-24,<2,Russia,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,2/5/2014,Spain,,,,,,,,,,,,,,Male,,100
20-24,<2,Germany,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
30-34,2/5/2014,Canada,"$20,000 - $40,000",,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,Austria,Student / Unemployed,,,,Java,JavaScript,,,PHP,,,SQL,,Male,Mac OS X,
25-29,2/5/2014,Algeria,Rather not say,,,,,,,,,,,,,Female,,
25-29,<2,United States,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,New Zealand,Student / Unemployed,,,,,JavaScript,,,,,,,,Male,Mac OS X,
35-39,6/10/2014,Netherlands,"$80,000 - $100,000",,,,,,,,,,,,,Male,,6/15/2014
25-29,2/5/2014,China,"<$20,000",C,,,,,,Objective-C,,,,,,Male,Mac OS X,16-30
,,Argentina,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
,,Romania,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
20-24,2/5/2014,United States,"$80,000 - $100,000",,,,,,,,,,,,,Male,,6/15/2014
< 20,<2,France,,,,,,,,,,,,,,Male,,
20-24,2/5/2014,Netherlands,Student / Unemployed,,,,,,,,,,,,,Male,,16-30
20-24,6/10/2014,Canada,,C,C++,,,,,,,,,,,Male,Linux,
20-24,11,United Kingdom,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,<2,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,2/5/2014,United States,Rather not say,,,,Java,,,,,,,,,Prefer not to disclose,Windows 8,1/5/2014
< 20,2/5/2014,Argentina,Student / Unemployed,C,C++,,Java,,,,,,,,,Male,Ubuntu,
20-24,2/5/2014,United States,,,,,,,,,,,,,,Male,,
25-29,6/10/2014,United States,"$60,000 - $80,000",,,,,,,,,,,,,Male,,
30-34,2/5/2014,Germany,"$40,000 - $60,000",,,,,,,,,,,,,Male,,1/5/2014
25-29,6/10/2014,United States,"$120,000 - $140,000",,,,,,,,,,,,,Male,,6/15/2014
25-29,6/10/2014,United States,"$80,000 - $100,000",,,,,,,,,,,,,Male,,6/15/2014
30-34,6/10/2014,United States,"$80,000 - $100,000",,,,,,,,,,,,,Male,,100
25-29,6/10/2014,Switzerland,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,United Kingdom,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,Hungary,"$20,000 - $40,000",,,,,,,,,,,,,Male,,50-100
25-29,<2,Ireland,Rather not say,,,,,,,,,,,,,Male,,
25-29,2/5/2014,Pakistan,Rather not say,,,,,,,,,,,,,Male,,100
40-50,11,United States,"$120,000 - $140,000",,,,,,,,,,,,,Male,,
20-24,2/5/2014,South Korea,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
30-34,6/10/2014,India,,,,C#,,JavaScript,,,,,,,,Prefer not to disclose,Windows 7,100
30-34,6/10/2014,India,Rather not say,,,,,,,,,,,,,Female,,100
,,United States,,,,,,,,,,,,,,,,
,,Myanmar [Burma],,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,Singapore,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,
,,Algeria,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
< 20,<2,Philippines,Student / Unemployed,,,,,,,,,,,,,Male,,
25-29,6/10/2014,United Kingdom,,,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,Denmark,Student / Unemployed,,,,,JavaScript,,Objective-C,,Python,,,,Male,Mac OS X,
< 20,2/5/2014,United States,Student / Unemployed,,,,,,,Objective-C,,Python,,,,Male,Mac OS X,
20-24,2/5/2014,United States,"<$20,000",,C++,,,,,,,Python,,SQL,,Male,Ubuntu,
25-29,6/10/2014,Japan,Rather not say,,,,,,,,,,,,,Male,,
40-50,11,Germany,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
35-39,11,Germany,">$140,000",,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,United States,Student / Unemployed,,,,,,,,,,,,,Male,,6/15/2014
25-29,6/10/2014,United States,Rather not say,,,,,,,,,,,,,Male,,6/15/2014
20-24,6/10/2014,Germany,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
30-34,11,Switzerland,"$60,000 - $80,000",,,,,,,,,,,,,Male,,1/5/2014
20-24,<2,India,"<$20,000",,,,,,,,,,,,,Male,,16-30
20-24,2/5/2014,Canada,"$40,000 - $60,000",,,,,,,,,,,,,Male,,1/5/2014
40-50,11,France,"$60,000 - $80,000",,,,,,,,,,,,,Male,,16-30
40-50,11,Germany,"$80,000 - $100,000",,,,,,,,,,,,,Male,,16-30
20-24,<2,India,Rather not say,,,,,,,,,,,,,Male,,100
30-34,11,United Kingdom,,,,,,,,,,,,,,Male,,6/15/2014
,,Tunisia,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,
,,Switzerland,,,,,,,,,,,,,,,,
20-24,11,Russia,Rather not say,,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 7,
30-34,<2,Germany,,,,,,,,,,,,,,Male,,31-50
25-29,6/10/2014,United States,Student / Unemployed,,,,,,,,,,,SQL,Matlab,Male,Mac OS X,31-50
< 20,<2,Finland,Student / Unemployed,C,,,,JavaScript,,,,Python,,,,Male,Windows 7,
20-24,2/5/2014,United States,Student / Unemployed,,C++,,,,,,,,,,,Male,Windows 7,
< 20,2/5/2014,Romania,Student / Unemployed,C,C++,,Java,,,,,,,,,Male,Linux,1/5/2014
< 20,<2,United States,Student / Unemployed,C,,,Java,,,,,,,,,Male,Linux,
20-24,<2,India,"<$20,000",,,,,,,,,,,,,Male,,6/15/2014
20-24,<2,India,Rather not say,,,,Java,JavaScript,,,,,,,,Male,Windows 7,100
25-29,6/10/2014,United Kingdom,"$40,000 - $60,000",,,,,,,,,,,,,Male,,100
20-24,2/5/2014,India,"<$20,000",,,,,,,,,,,,,Female,,
20-24,<2,United States,"$60,000 - $80,000",,,,,,,,,,,,,Male,,6/15/2014
25-29,6/10/2014,Ukraine,Rather not say,,,,,,,,,,,,,Female,,50-100
30-34,6/10/2014,Germany,"$40,000 - $60,000",,,,,,,,,,,,,Male,,100
20-24,2/5/2014,United States,"<$20,000",,,,,,,,,,,,,Male,,
,,Ireland,,,,,,,,,,,,,,,,
,,Hungary,,,,,,,,,,,,,,,,
,,Croatia,,,,,,,,,,,,,,,,
20-24,6/10/2014,United Kingdom,Student / Unemployed,,,,Java,,,,,,,,,Prefer not to disclose,Windows 7,
